job_id,job_title,role_type,salary_min,salary_max,salary_avg,salary_range,rating,company_name,city,state,industry,sector,company_size,revenue,founded,type_of_ownership,easy_apply,has_sql,has_python,has_excel,has_tableau,has_powerbi,seniority
1615,"Business Analyst","Business Analyst",46000,90000,68000,44000,3.5,"Fair, Isaac and Company 3.5","San Diego",CA,"Computer Hardware & Software","Information Technology","1001 to 5000 employees","$500 million to $1 billion (USD)",1956,"Company - Public",-1,0,0,1,1,0,Mid-Level
1616,"Staff Business Process Analyst","Business Analyst",46000,90000,68000,44000,3.9,"Illumina 3.9","San Diego",CA,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","5001 to 10000 employees","$2 to $5 billion (USD)",1998,"Company - Public",-1,0,0,1,0,0,Mid-Level
1617,"Business Analyst","Business Analyst",46000,90000,68000,44000,3.5,"Vervent, Inc 3.5","San Diego",CA,Lending,Finance,"501 to 1000 employees","Unknown / Non-Applicable",1986,"Company - Private",-1,0,0,1,0,0,Mid-Level
1618,"Business Systems Analyst","Business Analyst",40000,77000,58500,37000,3.7,"CCC Information Services, Inc. 3.7",Chicago,IL,"Enterprise Software & Network Solutions","Information Technology","1001 to 5000 employees","$500 million to $1 billion (USD)",1980,"Company - Private",-1,1,0,1,0,0,Mid-Level
1619,"Business Information Analyst","Business Analyst",40000,77000,58500,37000,3.1,"Kemper 3.1",Chicago,IL,"Insurance Carriers",Insurance,"5001 to 10000 employees","$2 to $5 billion (USD)",1990,"Company - Public",-1,1,0,0,0,0,Mid-Level
1620,"Business Analyst","Business Analyst",40000,77000,58500,37000,3.2,"Oak Street Health 3.2",Chicago,IL,"Health Care Services & Hospitals","Health Care","1001 to 5000 employees","Unknown / Non-Applicable",2012,"Company - Private",-1,0,0,1,0,0,Mid-Level
1621,"Business Analyst","Business Analyst",40000,77000,58500,37000,NULL,"TransTech LLC",Chicago,IL,-1,-1,"51 to 200 employees","Unknown / Non-Applicable",-1,"Company - Public",-1,0,0,0,0,0,Mid-Level
1622,"Business Analyst","Business Analyst",40000,77000,58500,37000,2.9,"INTRALOT INC 2.9",Bolingbrook,IL,"Computer Hardware & Software","Information Technology","5001 to 10000 employees","$50 to $100 million (USD)",1992,"Company - Private",-1,0,0,1,0,0,Mid-Level
1623,"Business Analyst - Consultant","Business Analyst",40000,77000,58500,37000,2.8,"RiverPoint 2.8",Rosemont,IL,"Advertising & Marketing","Business Services","1 to 50 employees","Unknown / Non-Applicable",2013,"Company - Private",-1,1,0,1,0,0,Mid-Level
1624,"Business Analyst","Business Analyst",40000,77000,58500,37000,3.8,"RiverPoint 3.8",Rosemont,IL,Accounting,"Accounting & Legal","1 to 50 employees","$5 to $10 million (USD)",1988,"Company - Private",-1,1,0,1,0,0,Mid-Level
